department,date,rainfall_qty,year,month_name,month
COUFFO,2013-04-01,105.87333333333332,2013,April,4
OUEME,2013-04-01,152.73925925925926,2013,April,4
PLATEAU,2013-04-01,94.02666666666667,2013,April,4
ATLANTIC,2013-04-01,179.79250000000002,2013,April,4
LITTORAL,2013-04-01,58.75,2013,April,4
BORGOU,2014-04-01,55.8875,2014,April,4
ALIBORI,2014-04-01,45.55333333333334,2014,April,4
ATACORA,2014-04-01,100.30619047619047,2014,April,4
DONGA,2014-04-01,80.18138392857144,2014,April,4
ZOU,2014-04-01,80.86333333333333,2014,April,4
HILLS,2014-04-01,70.21166666666666,2014,April,4
MONO,2014-04-01,76.03684210526316,2014,April,4
COUFFO,2014-04-01,117.496,2014,April,4
OUEME,2014-04-01,97.17777777777776,2014,April,4
PLATEAU,2014-04-01,65.84899999999999,2014,April,4
ATLANTIC,2014-04-01,95.29624999999999,2014,April,4
LITTORAL,2014-04-01,65.0,2014,April,4
BORGOU,2015-04-01,8.728301886792453,2015,April,4
ALIBORI,2015-04-01,1.4756149193548387,2015,April,4
ATACORA,2015-04-01,7.513822751322751,2015,April,4
DONGA,2015-04-01,6.548387096774193,2015,April,4
ZOU,2015-04-01,46.29416666666667,2015,April,4
HILLS,2015-04-01,15.884375,2015,April,4
MONO,2015-04-01,50.91578947368421,2015,April,4
COUFFO,2015-04-01,56.37800000000001,2015,April,4
OUEME,2015-04-01,62.66375000000001,2015,April,4
PLATEAU,2015-04-01,58.199999999999996,2015,April,4
ATLANTIC,2015-04-01,77.35,2015,April,4
LITTORAL,2015-04-01,73.125,2015,April,4
BORGOU,2016-04-01,93.99103641456581,2016,April,4
ALIBORI,2016-04-01,66.94647950089127,2016,April,4
ATACORA,2016-04-01,96.19342105263159,2016,April,4
DONGA,2016-04-01,70.40666666666667,2016,April,4
ZOU,2016-04-01,110.02758620689654,2016,April,4
HILLS,2016-04-01,103.0741935483871,2016,April,4
MONO,2016-04-01,110.35294117647058,2016,April,4
COUFFO,2016-04-01,108.20399999999998,2016,April,4
OUEME,2016-04-01,126.9757142857143,2016,April,4
PLATEAU,2016-04-01,97.47222222222223,2016,April,4
ATLANTIC,2016-04-01,123.2227777777778,2016,April,4
LITTORAL,2016-04-01,79.75,2016,April,4
BORGOU,2017-04-01,59.62125,2017,April,4
ALIBORI,2017-04-01,0.0,2017,April,4
ATACORA,2017-04-01,50.47,2017,April,4
DONGA,2017-04-01,88.62,2017,April,4
ZOU,2017-04-01,104.19,2017,April,4
HILLS,2017-04-01,69.94,2017,April,4
MONO,2017-04-01,123.08,2017,April,4
COUFFO,2017-04-01,136.75,2017,April,4
OUEME,2017-04-01,116.0,2017,April,4
PLATEAU,2017-04-01,141.55,2017,April,4
ATLANTIC,2017-04-01,152.1818181818182,2017,April,4
LITTORAL,2017-04-01,69.8,2017,April,4
BORGOU,2018-04-01,38.97107142857143,2018,April,4
ALIBORI,2018-04-01,0.0,2018,April,4
ATACORA,2018-04-01,26.745555555555555,2018,April,4
DONGA,2018-04-01,38.0,2018,April,4
ZOU,2018-04-01,128.27666666666667,2018,April,4
HILLS,2018-04-01,63.01785714285714,2018,April,4
MONO,2018-04-01,77.42500000000001,2018,April,4
COUFFO,2018-04-01,104.8147619047619,2018,April,4
OUEME,2018-04-01,121.96000000000001,2018,April,4
PLATEAU,2018-04-01,66.2025,2018,April,4
ATLANTIC,2018-04-01,80.18333333333334,2018,April,4
LITTORAL,2018-04-01,61.599999999999994,2018,April,4
BORGOU,2019-04-01,58.49,2019,April,4
ALIBORI,2019-04-01,20.776666666666664,2019,April,4
ATACORA,2019-04-01,76.15,2019,April,4
DONGA,2019-04-01,67.38,2019,April,4
ZOU,2019-04-01,91.2,2019,April,4
HILLS,2019-04-01,52.66,2019,April,4
MONO,2019-04-01,98.55,2019,April,4
COUFFO,2019-04-01,110.53809523809524,2019,April,4
OUEME,2019-04-01,95.0,2019,April,4
PLATEAU,2019-04-01,98.91,2019,April,4
ATLANTIC,2019-04-01,120.51666666666667,2019,April,4
LITTORAL,2019-04-01,64.0,2019,April,4
BORGOU,2020-04-01,71.725,2020,April,4
ALIBORI,2020-04-01,57.14,2020,April,4
ATACORA,2020-04-01,39.73888888888889,2020,April,4
DONGA,2020-04-01,88.58522727272728,2020,April,4
ZOU,2020-04-01,88.05185185185185,2020,April,4
HILLS,2020-04-01,93.06428571428572,2020,April,4
MONO,2020-04-01,68.21587301587302,2020,April,4
COUFFO,2020-04-01,68.21587301587302,2020,April,4
OUEME,2020-04-01,109.69000000000001,2020,April,4
PLATEAU,2020-04-01,99.07105263157895,2020,April,4
ATLANTIC,2020-04-01,79.84166666666667,2020,April,4
LITTORAL,2020-04-01,107.02333333333333,2020,April,4
BORGOU,2021-04-01,41.056,2021,April,4
